Município,População_residente
LAJEDO DO TABOCAL,8591
LAMARAO,8078
LAPAO,27323
LAURO DE FREITAS,204669
LENCOIS,11586
LICINIO DE ALMEIDA,12357
LIVRAMENTO DE NOSSA SENHORA,46372
LUIS EDUARDO MAGALHAES,92671
MACAJUBA,11318
MACARANI,19056
MACAUBAS,50481
MACURURE,7752
MADRE DE DEUS,21754
MAETINGA,2386
MAIQUINIQUE,10294
MAIRI,18535
MALHADA,16875
MALHADA DE PEDRAS,8326
MANOEL VITORINO,12944
MANSIDAO,13822
MARACAS,19973
MARAGOGIPE,44902
MARAU-BA,20664
MARCIONILIO SOUZA,10357
MASCOTE,13619
MATA DE SAO JOAO,47643
MATINA,12359
MEDEIROS NETO,22741
MIGUEL CALMON,25771
MILAGRES-BA,10838
MIRANGABA,18603
MIRANTE,8264
MONTE SANTO,49145
MORPARA,8476
MORRO DO CHAPEU,35466
MORTUGABA,12063
MUCUGE,8725
MUCURI,42729
MULUNGU DO MORRO,10469
MUNDO NOVO-BA,27153
MUNIZ FERREIRA,7464
MUQUEM DE SAO FRANCISCO,11479
MURITIBA,29420
MUTUIPE,22340
NAZARE-BA,28661
NILO PECANHA,14156
NORDESTINA,13197
NOVA CANAA,16482
NOVA FATIMA-BA,7830
NOVA IBIA,6518
NOVA ITARANA,8328
NOVA REDENCAO,9126
NOVA SOURE,27047
NOVA VICOSA,44170
NOVO HORIZONTE-BA,12653
NOVO TRIUNFO,15445
OLINDINA,28373
OLIVEIRA DOS BREJINHOS,21797
OURICANGAS,8575
OUROLANDIA,17567
PALMAS DE MONTE ALTO,21840
PALMEIRAS,9123
PARAMIRIM,21777
PARATINGA,32274
PARIPIRANGA,29124
PAU BRASIL,9550
PAULO AFONSO,119213
PE DE SERRA,13535
PEDRAO,7438
PEDRO ALEXANDRE,16698
PIATA,16854
PILAO ARCADO,35295
PINDAI,16308
PINDOBACU,20048
PINTADAS,10353
PIRAI DO NORTE,10050
PIRIPA,10253
PIRITIBA,25162
PLANALTINO,9415
PLANALTO-BA,26581
POCOES,46885
POJUCA,40401
PONTO NOVO,14729
PORTO SEGURO,152529
POTIRAGUA,6623
PRADO,28214
PRESIDENTE DUTRA-BA,15180
PRESIDENTE JANIO QUADROS,12028
PRESIDENTE TANCREDO NEVES,28272
QUEIMADAS-BA,25428
QUIJINGUE,27672
QUIXABEIRA,8939
RAFAEL JAMBEIRO,22643
REMANSO,41324
RETIROLANDIA,14588
RIACHAO DAS NEVES,22330
RIACHAO DO JACUIPE,33498
RIACHO DE SANTANA-BA,35757
RIBEIRA DO AMPARO,14631
RIBEIRA DO POMBAL,54097
RIBEIRAO DO LARGO,4896
RIO DE CONTAS,12878
RIO DO ANTONIO,15521
RIO DO PIRES,11672
RIO REAL,41209
RODELAS,9548
RUY BARBOSA-BA,30900
SALINAS DA MARGARIDA,16047
SALVADOR,2900319
SANTA BARBARA-BA,20971
SANTA BRIGIDA,13917
SANTA CRUZ CABRALIA,28058
SANTA CRUZ DA VITORIA,6241
SANTA INES-BA,10583
SANTALUZ,37704
SANTA LUZIA-BA,12308
SANTA MARIA DA VITORIA,39707
SANTANA-BA,26792
SANTANOPOLIS,8987
SANTA RITA DE CASSIA,28613
SANTA TERESINHA-BA,10520
SANTO AMARO,60190
SANTO ANTONIO DE JESUS,103204
SANTO ESTEVAO,53666
SAO DESIDERIO,34764
SAO DOMINGOS-BA,9085
SAO FELIX,14784
SAO FELIX DO CORIBE,15543
SAO FELIPE,21083
SAO FRANCISCO DO CONDE,40664
SAO GABRIEL-BA,18785
SAO GONCALO DOS CAMPOS,38315
SAO JOSE DA VITORIA,5562
SAO JOSE DO JACUIPE,10546
SAO MIGUEL DAS MATAS,11733
SAO SEBASTIAO DO PASSE,44554
SAPEACU,17421
SATIRO DIAS,17330
SAUBARA,12163
SAUDE,12971
SEABRA,44370
SEBASTIAO LARANJEIRAS,11586
SENHOR DO BONFIM,79813
SERRA DO RAMALHO,31362
SENTO SE,41279
SERRA DOURADA,17261
SERRA PRETA,14531
SERRINHA-BA,81693
SERROLANDIA,13490
SIMOES FILHO,137117
SITIO DO MATO,13104
SITIO DO QUINTO,9431
SOBRADINHO-BA,23274
SOUTO SOARES,17118
TABOCAS DO BREJO VELHO,12515
TANHACU,20383
TANQUE NOVO,17518
TANQUINHO,7936
TAPEROA-BA,21421
TAPIRAMUTA,16939
TEIXEIRA DE FREITAS,164290
TEODORO SAMPAIO-BA,7296
TEOFILANDIA,22590
TEOLANDIA,15097
TERRA NOVA-BA,13018
TREMEDAL,15996
TUCANO,50903
UAUA,23991
UBAIRA,19860
UBAITABA,18647
UBATA,27481
UIBAI,13894
UMBURANAS,19573
UNA,18108
URANDI,16672
URUCUCA,20312
UTINGA,19330
VALENCA-BA,97873
VALENTE,29111
VARZEA DA ROCA,14135
VARZEA DO POCO,9247
VARZEA NOVA,12556
VARZEDO,8734
VERA CRUZ-BA,44185
VEREDA,6105
VITORIA DA CONQUISTA,343643
WAGNER,9342
WANDERLEY,12125
WENCESLAU GUIMARAES,20862
XIQUE-XIQUE,46562
ABADIA DOS DOURADOS,7022
ABAETE,23263
ABRE CAMPO,13434
ACAIACA,3995
ACUCENA,9270
AGUA BOA-MG,13319
AGUA COMPRIDA,1986
AGUANIL,4557
AGUAS FORMOSAS,19285
AGUAS VERMELHAS,13656
AIMORES,25116
AIURUOCA,5949
ALAGOA,2657
ALBERTINA,3015
ALEM PARAIBA,35438
ALFENAS,80973
ALFREDO VASCONCELOS,7052
ALMENARA,42380
ALPERCATA,7448
ALPINOPOLIS,20059
ALTEROSA,14566
ALTO CAPARAO,5938
ALTO RIO DOCE,10723
ALVARENGA,3783
ALVINOPOLIS,15135
ALVORADA DE MINAS,3605
AMPARO DO SERRA,4643
ANDRADAS,41704
CACHOEIRA DE PAJEU,9470
ANDRELANDIA,12189
ANGELANDIA,8594
ANTONIO CARLOS-MG,11471
ANTONIO DIAS,9233
ANTONIO PRADO DE MINAS,1577
ARACAI,2360
ARACITABA,2056
ARACUAI,36715
ARAGUARI,118361
ARANTINA,2779
ARAPONGA,8467
ARAPORA,6992
ARAPUA-MG,2836
ARAUJOS,9523
ARAXA,108403
ARCEBURGO,10990
ARCOS,40658
AREADO,15288
ARGIRITA,2681
ARICANDUVA,5305
ARINOS,17850
ASTOLFO DUTRA,14358
ATALEIA,12496
AUGUSTO DE LIMA,4833
BAEPENDI,19249
BALDIM,7780
BAMBUI,23964
BANDEIRA,4738
BANDEIRA DO SUL,5808
BARAO DE COCAIS,33232
BARAO DE MONTE ALTO,5311
BARBACENA,139061
BARRA LONGA,4905
BARROSO,20981
BELA VISTA DE MINAS,10269
BELMIRO BRAGA,3422
BELO HORIZONTE,2530701
BELO ORIENTE,27277
BELO VALE,7723
BERILO,11813
BERTOPOLIS,4609
BERIZAL,4792
BETIM,450024
BIAS FORTES,3282
BICAS,14612
BIQUINHAS,2482
BOA ESPERANCA-MG,40308
BOCAINA DE MINAS,5088
BOCAIUVA,50521
BOM DESPACHO,51436
BOM JARDIM DE MINAS,6444
BOM JESUS DA PENHA,4270
BOM JESUS DO AMPARO,6182
BOM JESUS DO GALHO,14792
BOM REPOUSO,10527
BOM SUCESSO-MG,17612
BONFIM-MG,6852
BONFINOPOLIS DE MINAS,5397
BONITO DE MINAS,11502
BORDA DA MATA,19809
BOTELHOS,14927
BOTUMIRIM,6259
BRASILANDIA DE MINAS,16950
BRASILIA DE MINAS,32460
BRAS PIRES,4255
BRAUNAS,4737
BRAZOPOLIS,14364
BRUMADINHO,41208
BUENO BRANDAO,10982
BUENOPOLIS,10342
BUGRE,3984
BURITIS-MG,25179
BURITIZEIRO,28184
CABECEIRA GRANDE,7025
CABO VERDE,14074
CACHOEIRA DA PRATA,3580
CACHOEIRA DE MINAS,11609
CACHOEIRA DOURADA-MG,2720
CAETANOPOLIS,11869
CAETE,45364
CAIANA,5584
CAJURI,3961
CALDAS,14600
CAMACHO,2839
CAMANDUCAIA,21831
CAMBUI,30068
CAMBUQUIRA,12810
CAMPANARIO,3739
CAMPANHA,16855
CAMPESTRE-MG,21052
CAMPINA VERDE,19759
CAMPO AZUL,3830
CAMPO BELO,54338
CAMPO DO MEIO,11648
CAMPO FLORIDO,8383
CAMPOS ALTOS,15661
CAMPOS GERAIS,28908
CANAA,4533
CANAPOLIS-MG,12251
CANA VERDE,5585
CANDEIAS-MG,14890
CANTAGALO-MG,4575
CAPARAO,5464
CAPELA NOVA,4616
CAPELINHA,38321
CAPETINGA,6860
CAPIM BRANCO,9896
CAPINOPOLIS,16294
CAPITAO ANDRADE,5559
CAPITAO ENEAS,15388
CAPITOLIO,8693
CAPUTIRA,9318
CARAI,23872
CARANAIBA,3150
CARANDAI,25831
CARANGOLA,33022
CARATINGA,93124
CARBONITA,9423
CAREACU,6826
CARLOS CHAGAS,18516
CARMESIA,2660
CARMO DA CACHOEIRA,12193
CARMO DA MATA,11546
CARMO DE MINAS,15031
CARMO DO CAJURU,22900
CARMO DO PARANAIBA,30339
CARMO DO RIO CLARO,21310
CARMOPOLIS DE MINAS,19756
CARNEIRINHO,10103
CARRANCAS,4052
CARVALHOPOLIS,3614
CARVALHOS,4445
CASA GRANDE,2251
CASCALHO RICO,3108
CASSIA,17741
CONCEICAO DA BARRA DE MINAS,3939
CATAGUASES,75942
CATAS ALTAS,5465
CATAS ALTAS DA NORUEGA,3665
CATUJI,6206
CATUTI,4944
CAXAMBU,21566
CEDRO DO ABAETE,1150
CENTRAL DE MINAS,7059
CENTRALINA,10343
CHACARA,3216
CHALE,5695
CHAPADA DO NORTE,15334
CHAPADA GAUCHA,14217
CHIADOR,2657
CIPOTANEA,6811
CLARAVAL,4873
CLARO DOS POCOES,7478
CLAUDIO,29093
COIMBRA,7631
COLUNA,8810
COMENDADOR GOMES,3128
COMERCINHO,6624
CONCEICAO DA APARECIDA,10351
CONCEICAO DAS PEDRAS,2814
CONCEICAO DAS ALAGOAS,28782
CONCEICAO DE IPANEMA,4581
CONCEICAO DO MATO DENTRO,17438
CONCEICAO DO PARA,5558
CONCEICAO DO RIO VERDE,13729
CONCEICAO DOS OUROS,11852
CONEGO MARINHO,7730
CONFINS,6867
CONGONHAL,12209
CONGONHAS,55836
CONGONHAS DO NORTE,5047
CONQUISTA,6997
CONSELHEIRO LAFAIETE,130584
CONSELHEIRO PENA,22975
CONSOLACAO,1786
CONTAGEM,673849
COQUEIRAL,9099
CORACAO DE JESUS,26620
CORDISBURGO,8903
CORDISLANDIA,3546
CORINTO,23607
COROACI,9897
COROMANDEL,27958
CORONEL FABRICIANO,110709
CORONEL MURTA,9209
CORONEL PACHECO,3095
CORONEL XAVIER CHAVES,3448
CORREGO DANTA,3168
CORREGO DO BOM JESUS,3685
CORREGO FUNDO,6425
CORREGO NOVO,2688
COUTO DE MAGALHAES DE MINAS,4436
CRISOLITA,6814
CRISTAIS,13060
CRISTALIA,5992
CRISTIANO OTONI,5161
CRISTINA,10211
CRUCILANDIA,5072
CRUZEIRO DA FORTALEZA,3651
CRUZILIA,15529
CUPARAQUE,5026
CURRAL DE DENTRO,7867
CURVELO,81085
DATAS,5431
DELFIM MOREIRA,8007
DELFINOPOLIS,7146
DELTA,10994
DESCOBERTO,5044
DESTERRO DE ENTRE RIOS,7266
DESTERRO DO MELO,2867
DIAMANTINA,47924
DIOGO DE VASCONCELOS,3779
DIONISIO,7493
DIVINESIA,3430
DIVINO,20020
DIVINO DAS LARANJEIRAS,4969
DIVINOLANDIA DE MINAS,7655
DIVINOPOLIS,242505
DIVISA ALEGRE,6946
DIVISA NOVA,6039
DIVISOPOLIS,11396
DOM BOSCO,3635
DOM CAVATI,5025
DOM JOAQUIM,4436
DOM SILVERIO,5227
DOM VICOSO,2992
DONA EUSEBIA,6664
DORES DE CAMPOS,10291
DORES DE GUANHAES,5139
DORES DO INDAIA,13373
DORES DO TURVO,4202
DORESOPOLIS,1539
DOURADOQUARA,1915
DURANDE,7898
ELOI MENDES,28556
ENGENHEIRO CALDAS,11268
ENGENHEIRO NAVARRO,7240
ENTRE FOLHAS,5383
ENTRE RIOS DE MINAS,15458
ERVALIA,19019
ESMERALDAS,72512
ESPERA FELIZ,25287
ESPINOSA,31603
ESPIRITO SANTO DO DOURADO,4728
ESTIVA,11416
ESTRELA DALVA,2308
ESTRELA DO INDAIA,3483
ESTRELA DO SUL,8057
EUGENOPOLIS,11383
EWBANK DA CAMARA,3932
EXTREMA,37649
FAMA,2374
FARIA LEMOS,3202
FELICIO DOS SANTOS,4656
SAO GONCALO DO RIO PRETO,3178
FELISBURGO,7548
FELIXLANDIA,15528
FERNANDES TOURINHO,3500
FERROS,9576
FERVEDOURO,11100
FLORESTAL,7602
FORMIGA,67956
FORMOSO-MG,9810
FORTALEZA DE MINAS,4460
FORTUNA DE MINAS,2986
FRANCISCO BADARO,10311
FRANCISCO DUMONT,5268
FRANCISCO SA,26459
FRANCISCOPOLIS,5287
FREI GASPAR,5858
FREI INOCENCIO,9716
FREI LAGONEGRO,3496
FRONTEIRA,18866
FRONTEIRA DOS VALES,4542
FRUTA DE LEITE,5232
FRUTAL,60508
FUNILANDIA,4434
GALILEIA,6764
GAMELEIRAS,5084
GLAUCILANDIA,3177
GOIABEIRA,3402
GOIANA-MG,4014
GONCALVES,4360
GONZAGA,6184
GOUVEIA,11811
GOVERNADOR VALADARES,282164
GRAO MOGOL,15943
GRUPIARA,1386
GUANHAES,34818
GUAPE,14269
GUARACIABA-MG,10307
GUARACIAMA,5005
GUARANESIA,19014
GUARANI,8926
GUARARA,3755
GUARDA-MOR,6558
GUAXUPE,52234
GUIDOVAL,7026
GUIMARANIA,8168
GUIRICEMA,8296
GURINHATA,5516
HELIODORA,6623
IAPU,11085
IBERTIOGA,4999
IBIA,25511
IBIAI,8478
IBIRACATU,5340
IBIRACI,14128
IBIRITE,184030
IBITIURA DE MINAS,3497
IBITURUNA,3003
ICARAI DE MINAS,12200
IGARAPE,44561
IGARATINGA,11146
IGUATAMA,7901
IJACI,6667
ILICINEA,12511
IMBE DE MINAS,6976
INCONFIDENTES,7387
INDAIABIRA,7328
INDIANOPOLIS-MG,7009
INGAI,2785
INHAPIM,24020
INHAUMA,6352
INIMUTABA,7605
IPABA,18926
IPANEMA,20133
IPATINGA,267333
IPIACU,4229
IPUIUNA,10156
IRAI DE MINAS,7067
ITABIRA,121717
ITABIRINHA,11637
ITABIRITO,52996
ITACAMBIRA,5447
ITACARAMBI,18175
ITAGUARA,13510
ITAIPE,12910
ITAJUBA,97782
ITAMARANDIBA,35130
ITAMARATI DE MINAS,4395
ITAMBACURI,23207
ITAMBE DO MATO DENTRO,2032
ITAMOGI,10122
ITAMONTE,15844
ITANHANDU,15511
ITANHOMI,12259
ITAOBIM,20997
ITAPAGIPE,15511
ITAPECERICA,21760
ITAPEVA-MG,9976
ITATIAIUCU,11354
ITAU DE MINAS,16286
ITAUNA,94455
ITAVERAVA,5321
ITINGA,15053
ITUETA,6074
ITUIUTABA,105818
ITUMIRIM,5978
ITURAMA,40101
ITUTINGA,3749
JABOTICATUBAS,20683
JACINTO,12320
JACUI,7695
JACUTINGA-MG,26538
JAGUARACU,3151
JAIBA,39850
JAMPRUCA,5453
JANAUBA,72374
JANUARIA,67958
JAPARAIBA,4418
JAPONVAR,7991
JECEABA,4795
JENIPAPO DE MINAS,7781
JEQUERI,12246
JEQUITAI,7407
JEQUITIBA,5203
JEQUITINHONHA,25555
JESUANIA,4774
JOAIMA,15476
JOANESIA,4382
JOAO MONLEVADE,80903
JOAO PINHEIRO,47990
JOAQUIM FELICIO,4757
JORDANIA,10872
JOSE GONCALVES DE MINAS,4474
JOSE RAYDAN,5104
JOSENOPOLIS,4911
NOVA UNIAO-MG,5739
JUATUBA,27823
JUIZ DE FORA,577532
JURAMENTO,4359
JURUAIA,10795
JUVENILIA,5706
LADAINHA,18272
LAGAMAR,7588
LAGOA DA PRATA,53236
LAGOA DOS PATOS,4062
LAGOA DOURADA,13115
LAGOA FORMOSA,18168
LAGOA GRANDE-MG,9681
LAGOA SANTA-MG,66744
LAJINHA,19914
LAMBARI,20995
LAMIM,3366
LARANJAL-MG,6856
LASSANCE,6494
LAVRAS,105756
LEANDRO FERREIRA,3222
LEME DO PRADO,4923
LEOPOLDINA,52690
LIBERDADE,4994
LIMA DUARTE,16749
LIMEIRA DO OESTE,7640
LONTRA,9766
LUISBURGO,6249
LUISLANDIA,6735
LUMINARIAS,5431
LUZ,18297
MACHACALIS,7112
MACHADO,42682
MADRE DE DEUS DE MINAS,5119
MALACACHETA,18556
MAMONAS,6565
MANGA,18051
MANHUACU,92074
MANHUMIRIM,22894
MANTENA,27651
MARAVILHAS,8113
MAR DE ESPANHA,12985
MARIA DA FE,14019
MARIANA,61830
MARILAC,4079
MARIO CAMPOS,15814
MARIPA DE MINAS,3000
MARLIERIA,4030
MARMELOPOLIS,2701
MARTINHO CAMPOS,13497
MARTINS SOARES,8640
MATA VERDE,8700
MATERLANDIA,4415
MATEUS LEME,31631
MATIAS BARBOSA,14626
MATIAS CARDOSO,11360
MATIPO,19098
MATO VERDE,12367
MATOZINHOS,38469
MATUTINA,3733
MEDEIROS,3861
MEDINA,20701
MENDES PIMENTEL,6446
MERCES,10775
MESQUITA-MG,5489
MINAS NOVAS,31509
MINDURI,3891
MIRABELA,13651
MIRADOURO,10818
MIRAI,15205
MIRAVANIA,4939
MOEDA,4948
MOEMA,7589
MONJOLOS,2184
MONSENHOR PAULO,8764
MONTALVANIA,14621
MONTE ALEGRE DE MINAS,21349
MONTE AZUL,20544
MONTE BELO,13139
MONTE CARMELO,48049
MONTE FORMOSO,4939
MONTE SANTO DE MINAS,21504
MONTES CLAROS,417478
MONTE SIAO,24247
MONTEZUMA,8379
MORADA NOVA DE MINAS,8955
MORRO DA GARCA,2413
MORRO DO PILAR,3126
MUNHOZ,5960
MURIAE,109997
MUTUM,26945
MUZAMBINHO,20522
NACIP RAYDAN,3221
NANUQUE,40583
NAQUE,7104
NATALANDIA,3306
NATERCIA,4727
NAZARENO,8710
NEPOMUCENO,26882
NINHEIRA,10355
NOVA BELEM,3067
NOVA ERA,17524
NOVA LIMA,97378
NOVA MODICA,3548
NOVA PONTE,16046
NOVA PORTEIRINHA,7493
NOVA RESENDE,16937
NOVA SERRANA,108241
NOVO CRUZEIRO,31339
NOVO ORIENTE DE MINAS,10800
NOVORIZONTE,5348
OLARIA,1694
OLHOS-D'AGUA,6243
OLIMPIO NORONHA,2829
OLIVEIRA,41987
OLIVEIRA FORTES,2128
ONCA DE PITANGUI,3155
ORATORIOS,4671
ORIZANIA,8138
OURO BRANCO-MG,40220
OURO FINO,33938
OURO PRETO,74824
OURO VERDE DE MINAS,5895
PADRE CARVALHO,6466
PADRE PARAISO,20346
PAINEIRAS,4440
PAINS,8308
PAI PEDRO,6098
PAIVA,1517
PALMA,6606
PALMOPOLIS,5196
PAPAGAIOS,15922
PARACATU,94539
PARA DE MINAS,95616
PARAGUACU,21693
PARAISOPOLIS,21353
PARAOPEBA,24854
PASSABEM,1619
PASSA QUATRO,16439
PASSA TEMPO,8031
PASSA-VINTE,2024
PASSOS,115970
PATIS,6031
PATOS DE MINAS,154641
PATROCINIO,92116
PATROCINIO DO MURIAE,5744
PAULA CANDIDO,9597
PAULISTAS,4794
PAVAO,8390
PECANHA,17534
PEDRA AZUL,24333
PEDRA BONITA,7157
PEDRA DO ANTA,2960
PEDRA DO INDAIA,3977
PEDRA DOURADA,2559
PEDRALVA,11098
PEDRAS DE MARIA DA CRUZ,12313
PEDRINOPOLIS,3651
PEDRO LEOPOLDO,65149
PEDRO TEIXEIRA,1804
PEQUERI,3340
PEQUI,4457
PERDIGAO,11994
PERDIZES,16469
PERDOES,21577
PERIQUITO,6738
PESCADOR,4261
PIAU,2719
PIEDADE DE CARATINGA,8832
PIEDADE DE PONTE NOVA,4141
PIEDADE DO RIO GRANDE,4436
PIEDADE DOS GERAIS,5034
PIMENTA,8715
PINGO-D'AGUA,5029
PINTOPOLIS,7540
PIRACEMA,6386
PIRAJUBA,6491
PIRANGA,17641
PIRANGUCU,5504
PIRANGUINHO,8683
PIRAPETINGA,10791
PIRAPORA,56845
PIRAUBA,10732
PITANGUI,28433
PIUMHI,35137
PLANURA,12445
POCO FUNDO,16900
POCOS DE CALDAS,169838
POCRANE,8288
POMPEU,32248
PONTE NOVA,60003
PONTO CHIQUE,4305
PONTO DOS VOLANTES,12235
PORTEIRINHA,37823
PORTO FIRME,11414
POTE,16675
POUSO ALEGRE,154293
POUSO ALTO,5862
PRADOS,9128
PRATA-MG,28173
PRATAPOLIS,8530
PRATINHA,3658
PRESIDENTE BERNARDES-MG,5315
PRESIDENTE JUSCELINO-MG,3572
PRESIDENTE KUBITSCHEK,3000
PRESIDENTE OLEGARIO,19680
ALTO JEQUITIBA,8286
PRUDENTE DE MORAIS,10931
QUARTEL GERAL,3603
QUELUZITO,1948
RAPOSOS,16501
RAUL SOARES,23663
RECREIO,10522
REDUTO,7247
RESENDE COSTA,11578
RESPLENDOR,17396
RESSAQUINHA,4826
RIACHINHO-MG,8132
RIACHO DOS MACHADOS,9471
RIBEIRAO DAS NEVES,341415
RIBEIRAO VERMELHO,4061
RIO ACIMA,10524
RIO CASCA,13384
RIO DOCE,2630
RIO DO PRADO,5117
RIO ESPERA,5332
RIO MANSO,5924
RIO NOVO,8964
RIO PARANAIBA,12356
RIO PARDO DE MINAS,31171
RIO PIRACICABA,14325
RIO POMBA,18007
RIO PRETO,5493
RIO VERMELHO,12635
RITAPOLIS,4521
ROCHEDO DE MINAS,2335
RODEIRO,8333
ROMARIA,3507
ROSARIO DA LIMEIRA,4648
RUBELITA,5609
RUBIM,10269
SABARA,137877
SABINOPOLIS,15364
SACRAMENTO,26556
SALINAS,41864
SALTO DA DIVISA,7014
SANTA BARBARA-MG,31873
SANTA BARBARA DO LESTE,8212
SANTA BARBARA DO MONTE VERDE,3212
SANTA BARBARA DO TUGURIO,4385
SANTA CRUZ DE MINAS,8723
SANTA CRUZ DE SALINAS,4074
SANTA CRUZ DO ESCALVADO,4693
SANTA EFIGENIA DE MINAS,4354
SANTA FE DE MINAS,3806
SANTA HELENA DE MINAS,6406
SANTA JULIANA,14497
SANTA LUZIA-MG,221705
SANTA MARGARIDA,16393
SANTA MARIA DE ITABIRA,10867
SANTA MARIA DO SALTO,5203
SANTA MARIA DO SUACUI,14607
SANTANA DA VARGEM,7047
SANTANA DE CATAGUASES,3909
SANTANA DE PIRAPAMA,7538
SANTANA DO DESERTO,3985
SANTANA DO GARAMBEU,2494
SANTANA DO JACARE,4847
SANTANA DO MANHUACU,8660
SANTANA DO PARAISO,36048
SANTANA DO RIACHO,4334
SANTANA DOS MONTES,3753
SANTA RITA DE CALDAS,8900
SANTA RITA DE JACUTINGA,4843
SANTA RITA DE MINAS,7322
SANTA RITA DE IBITIPOCA,3380
SANTA RITA DO ITUETO,5426
SANTA RITA DO SAPUCAI,44226
SANTA ROSA DA SERRA,3364
SANTA VITORIA,19997
SANTO ANTONIO DO AMPARO,18697
SANTO ANTONIO DO AVENTUREIRO,3602
SANTO ANTONIO DO GRAMA,3861
SANTO ANTONIO DO ITAMBE,3763
SANTO ANTONIO DO JACINTO,11570
SANTO ANTONIO DO MONTE,28603
SANTO ANTONIO DO RETIRO,7316
SANTO ANTONIO DO RIO ABAIXO,1756
SANTO HIPOLITO,3044
SANTOS DUMONT,46357
SAO BENTO ABADE,5411
SAO BRAS DO SUACUI,3770
SAO DOMINGOS DAS DORES,5672
SAO DOMINGOS DO PRATA,17296
SAO FELIX DE MINAS,3354
SAO FRANCISCO-MG,56625
SAO FRANCISCO DE PAULA-MG,6512
SAO FRANCISCO DE SALES,6309
SAO FRANCISCO DO GLORIA,4758
SAO GERALDO,12751
SAO GERALDO DA PIEDADE,3860
SAO GERALDO DO BAIXIO,4104
SAO GONCALO DO ABAETE,8527
SAO GONCALO DO PARA,12776
SAO GONCALO DO RIO ABAIXO,11114
SAO GONCALO DO SAPUCAI,25670
SAO GOTARDO,36084
SAO JOAO BATISTA DO GLORIA,7541
SAO JOAO DA LAGOA,4949
SAO JOAO DA MATA,2743
SAO JOAO DA PONTE,25033
SAO JOAO DAS MISSOES,13232
SAO JOAO DEL REI,90897
SAO JOAO DO MANHUACU,11785
SAO JOAO DO MANTENINHA,5975
SAO JOAO DO ORIENTE,7393
SAO JOAO DO PACUI,4476
SAO JOAO DO PARAISO-MG,23797
SAO JOAO EVANGELISTA,15761
SAO JOAO NEPOMUCENO,26530
SAO JOAQUIM DE BICAS,32696
SAO JOSE DA BARRA,7532
SAO JOSE DA LAPA,24490
SAO JOSE DA SAFIRA,4291
SAO JOSE DA VARGINHA,5151
SAO JOSE DO ALEGRE,4222
SAO JOSE DO DIVINO-MG,3851
SAO JOSE DO GOIABAL,5356
SAO JOSE DO JACURI,6409
SAO JOSE DO MANTIMENTO,2821
SAO LOURENCO,46539
SAO MIGUEL DO ANTA,6949
SAO PEDRO DA UNIAO,4563
SAO PEDRO DOS FERROS,7634
SAO PEDRO DO SUACUI,5160
SAO ROMAO,12713
SAO ROQUE DE MINAS,7100
SAO SEBASTIAO DA BELA VISTA,5598
SAO SEBASTIAO DA VARGEM ALEGRE,3039
SAO SEBASTIAO DO ANTA,6697
SAO SEBASTIAO DO MARANHAO,9884
SAO SEBASTIAO DO OESTE,6948
SAO SEBASTIAO DO PARAISO,71915
SAO SEBASTIAO DO RIO PRETO,1478
SAO SEBASTIAO DO RIO VERDE,2259
SAO TIAGO,10979
SAO TOMAS DE AQUINO,6980
SAO THOME DAS LETRAS,7151
SAO VICENTE DE MINAS,7876
SAPUCAI-MIRIM,7045
SARDOA,6421
SARZEDO,34050
SETUBINHA,12493
SEM-PEIXE,2579
SENADOR AMARAL,5365
SENADOR CORTES,2001
SENADOR FIRMINO,7902
SENADOR JOSE BENTO,1422
SENADOR MODESTINO GONCALVES,4056
SENHORA DE OLIVEIRA,5786
SENHORA DO PORTO,3516
SENHORA DOS REMEDIOS,10474
SERICITA,7340
SERITINGA,1857
SERRA AZUL DE MINAS,4292
SERRA DA SAUDADE,771
SERRA DOS AIMORES,8725
SERRA DO SALITRE,11750
SERRANIA,7667
SERRANOPOLIS DE MINAS,4836
SERRANOS,1949
SERRO,20915
SETE LAGOAS,243950
SILVEIRANIA,2267
SILVIANOPOLIS,6258
SIMAO PEREIRA,2621
SIMONESIA,19834
SOBRALIA,5476
SOLEDADE DE MINAS,6226
TABULEIRO,3669
TAIOBEIRAS,34653
TAPARUBA,3093
TAPIRA-MG,4890
TAPIRAI-MG,1869
TAQUARACU DE MINAS,4120
TARUMIRIM,14280
TEIXEIRAS,11680
TEOFILO OTONI,141269
TIMOTEO,91268
TIRADENTES,8160
TIROS,6369
TOCANTINS,16769
TOCOS DO MOJI,4117
TOLEDO-MG,6336
TOMBOS,7683
TRES CORACOES,80561
TRES MARIAS,33062
TRES PONTAS,57127
TUMIRITINGA,6797
TUPACIGUARA,25466
TURMALINA-MG,20280
TURVOLANDIA,5099
UBA,117995
UBAI,12661
UBAPORANGA,12514
UBERABA,340277
UBERLANDIA,706597
UMBURATIBA,2582
UNAI,85461
UNIAO DE MINAS,4265
URUANA DE MINAS,3256
URUCANIA,10333
URUCUIA,17470
VARGEM ALEGRE,6460
VARGEM BONITA-MG,2143
VARGEM GRANDE DO RIO PARDO,5045
VARGINHA,137608
VARJAO DE MINAS,7235
VARZEA DA PALMA,40101
VARZELANDIA,19290
VAZANTE,20692
VERDELANDIA,9527
VEREDINHA,5733
VERISSIMO,4090
VERMELHO NOVO,4852
VESPASIANO,131849
VICOSA-MG,79910
VIEIRAS,3570
MATHIAS LOBATO,3157
VIRGEM DA LAPA,13729
