Município,População_residente
MAURILANDIA DO TOCANTINS,3470
MIRACEMA DO TOCANTINS,17628
MIRANORTE,13551
MONTE DO CARMO,8182
MONTE SANTO DO TOCANTINS,2311
PALMEIRAS DO TOCANTINS,6830
MURICILANDIA,3623
NATIVIDADE-TO,9256
NAZARE-TO,3772
NOVA OLINDA-TO,12014
NOVA ROSALANDIA,4348
NOVO ACORDO,4450
NOVO ALEGRE,2332
NOVO JARDIM,2768
OLIVEIRA DE FATIMA,1124
PALMEIRANTE,6234
PALMEIROPOLIS,7694
PARAISO DO TOCANTINS,52521
PARANA-TO,10426
PAU D'ARCO-TO,4885
PEDRO AFONSO,13964
PEIXE,11996
PEQUIZEIRO,5546
COLMEIA,8078
PINDORAMA DO TOCANTINS,4414
PIRAQUE,3038
PIUM,7830
PONTE ALTA DO BOM JESUS,4586
PONTE ALTA DO TOCANTINS,8192
PORTO ALEGRE DO TOCANTINS,3200
PORTO NACIONAL,53618
PRAIA NORTE,8563
PRESIDENTE KENNEDY-TO,3668
PUGMIL,2746
RECURSOLANDIA,4389
RIACHINHO-TO,4723
RIO DA CONCEICAO,2211
RIO DOS BOIS,2879
RIO SONO,6498
SAMPAIO,4876
SANDOLANDIA,3371
SANTA FE DO ARAGUAIA,7678
SANTA MARIA DO TOCANTINS,3537
SANTA RITA DO TOCANTINS,2407
SANTA ROSA DO TOCANTINS,4864
SANTA TEREZA DO TOCANTINS,2928
SANTA TEREZINHA DO TOCANTINS,2530
SAO BENTO DO TOCANTINS,5457
SAO FELIX DO TOCANTINS,1610
SAO MIGUEL DO TOCANTINS,12445
SAO SALVADOR DO TOCANTINS,3106
SAO SEBASTIAO DO TOCANTINS,4898
SAO VALERIO,3848
SILVANOPOLIS,5452
SITIO NOVO DO TOCANTINS,8965
SUCUPIRA,2007
TAGUATINGA,16966
TAIPAS DO TOCANTINS,2183
TALISMA,2831
PALMAS-TO,313349
TOCANTINIA,7688
TOCANTINOPOLIS,22820
TUPIRAMA,1952
TUPIRATINS,2785
WANDERLANDIA,11783
XAMBIOA,11500
ACAILANDIA,113783
AFONSO CUNHA,6631
AGUA DOCE DO MARANHAO,12731
ALCANTARA,22126
ALDEIAS ALTAS,26979
ALTAMIRA DO MARANHAO,8250
ALTO ALEGRE DO MARANHAO,28066
ALTO ALEGRE DO PINDARE,31967
ALTO PARNAIBA,11233
AMAPA DO MARANHAO,7047
AMARANTE DO MARANHAO,42017
ANAJATUBA,27170
ANAPURUS,16054
APICUM-ACU,17582
ARAGUANA-MA,15675
ARAIOSES,47095
ARAME,32825
ARARI,30014
AXIXA,12234
BACABAL,105094
BACABEIRA,17446
BACURI,18726
BACURITUBA,5696
BALSAS,96951
BARAO DE GRAJAU,19026
BARRA DO CORDA,88895
BARREIRINHAS,63891
BELAGUA,7586
BELA VISTA DO MARANHAO,11347
BENEDITO LEITE,5643
BEQUIMAO,21317
BERNARDO DO MEARIM,6102
BOA VISTA DO GURUPI,8494
BOM JARDIM-MA,42010
BOM JESUS DAS SELVAS,35095
BOM LUGAR,16578
BREJO,36900
BREJO DE AREIA,8841
BURITI,28916
BURITI BRAVO,23993
BURITICUPU,73595
BURITIRANA,15503
CACHOEIRA GRANDE,9524
CAJAPIO,11255
CAJARI,19521
CAMPESTRE DO MARANHAO,14530
CANDIDO MENDES,20376
CANTANHEDE,22236
CAPINZAL DO NORTE,10937
CAROLINA,24151
CARUTAPERA,24095
CAXIAS,166159
CEDRAL-MA,10711
CENTRAL DO MARANHAO,8806
CENTRO DO GUILHERME,13876
CENTRO NOVO DO MARANHAO,22056
CHAPADINHA,80705
CIDELANDIA,14855
CODO,123368
COELHO NETO,49804
COLINAS-MA,41443
CONCEICAO DO LAGO-ACU,16559
COROATA,65788
CURURUPU,32559
DAVINOPOLIS-MA,12923
DOM PEDRO,23393
DUQUE BACELAR,11451
ESPERANTINOPOLIS,16971
ESTREITO,43097
FEIRA NOVA DO MARANHAO,8506
FERNANDO FALCAO,10559
FORMOSA DA SERRA NEGRA,19425
FORTALEZA DOS NOGUEIRAS,12662
FORTUNA,17812
GODOFREDO VIANA,12104
GONCALVES DIAS,17953
GOVERNADOR ARCHER,10931
GOVERNADOR EDISON LOBAO,18740
GOVERNADOR EUGENIO BARROS,14703
GOVERNADOR LUIZ ROCHA,7878
GOVERNADOR NEWTON BELLO,10121
GOVERNADOR NUNES FREIRE,25502
GRACA ARANHA,6261
GRAJAU,70692
GUIMARAES,11966
HUMBERTO DE CAMPOS,29143
ICATU,27423
IGARAPE DO MEIO,14470
IGARAPE GRANDE,11453
IMPERATRIZ,259980
ITAIPAVA DO GRAJAU,16158
ITAPECURU MIRIM,69233
ITINGA DO MARANHAO,26134
JATOBA-MA,10464
JENIPAPO DOS VIEIRAS,17123
JOAO LISBOA,23677
JOSELANDIA,16228
JUNCO DO MARANHAO,4334
LAGO DA PEDRA,50959
LAGO DO JUNCO,10900
LAGO VERDE,16369
LAGOA DO MATO,11280
LAGO DOS RODRIGUES,8841
LAGOA GRANDE DO MARANHAO,11534
LAJEADO NOVO,7653
LIMA CAMPOS,11943
LORETO,12271
LUIS DOMINGUES,7016
MAGALHAES DE ALMEIDA,20228
MARACACUME,21773
MARAJA DO SENA,7757
MARANHAOZINHO,16754
MATA ROMA,17122
MATINHA,23591
MATOES,34099
MATOES DO NORTE,17316
MILAGRES DO MARANHAO,8502
MIRADOR-MA,21045
MIRANDA DO NORTE,29121
MIRINZAL,15059
MONCAO,33888
MONTES ALTOS,9064
MORROS,19708
NINA RODRIGUES,14826
NOVA COLINAS,5469
NOVA IORQUE,4682
NOVA OLINDA DO MARANHAO,21228
OLHO D'AGUA DAS CUNHAS,19616
OLINDA NOVA DO MARANHAO,14968
PACO DO LUMIAR,125265
PALMEIRANDIA,19840
PARAIBANO,21571
PARNARAMA,35108
PASSAGEM FRANCA,19253
PASTOS BONS,19693
PAULINO NEVES,16295
PAULO RAMOS,21092
PEDREIRAS,39153
PEDRO DO ROSARIO,25560
PENALVA,38987
PERI MIRIM,14371
PERITORO,23530
PINDARE-MIRIM,33186
PINHEIRO,84160
PIO XII,21274
PIRAPEMAS,18814
POCAO DE PEDRAS,17321
PORTO FRANCO,24294
PORTO RICO DO MARANHAO,5936
PRESIDENTE DUTRA-MA,48264
PRESIDENTE JUSCELINO-MA,12939
PRESIDENTE MEDICI-MA,7124
PRESIDENTE SARNEY,19217
