Per�odo:Ago/2022
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"210725 NOVA COLINAS";32;32;8002,77;6716,02;-;-;1286,75;-;-;250,09;250,09;100;3,1;-;-
"210735 NOVA OLINDA DO MARANHAO";138;138;51018,62;42467,19;-;-;8551,43;-;-;369,70;369,70;369;2,7;-;-
"210740 OLHO D'AGUA DAS CUNHAS";102;102;33580,39;27703,71;-;-;5876,68;-;-;329,22;329,22;305;3,0;-;-
"210745 OLINDA NOVA DO MARANHAO";14;14;6188,74;4474,35;-;-;1714,39;-;-;442,05;442,05;29;2,1;-;-
"210750 PACO DO LUMIAR";190;190;100686,92;62174,47;-;-;38512,45;-;-;529,93;529,93;487;2,6;-;-
"210760 PALMEIRANDIA";50;50;18019,86;13462,00;-;-;4557,86;-;-;360,40;360,40;77;1,5;-;-
"210770 PARAIBANO";127;127;53147,26;46140,81;-;-;7006,45;-;-;418,48;418,48;661;5,2;1;0,79
"210780 PARNARAMA";120;120;55781,19;47329,07;-;-;8452,12;-;-;464,84;464,84;500;4,2;2;1,67
"210790 PASSAGEM FRANCA";383;383;148028,82;126062,65;-;-;21966,17;-;-;386,50;386,50;1066;2,8;1;0,26
"210800 PASTOS BONS";113;113;38041,68;33651,46;-;-;4390,22;-;-;336,65;336,65;337;3,0;-;-
"210805 PAULINO NEVES";117;117;75198,74;54743,67;-;-;20455,07;-;-;642,72;642,72;267;2,3;-;-
"210810 PAULO RAMOS";182;182;62079,69;50964,02;-;-;11115,67;-;-;341,10;341,10;409;2,2;-;-
"210820 PEDREIRAS";437;437;253681,60;193782,47;-;-;59899,13;-;-;580,51;580,51;1586;3,6;16;3,66
"210825 PEDRO DO ROSARIO";40;40;13116,58;10594,40;-;-;2522,18;-;-;327,91;327,91;210;5,3;-;-
"210830 PENALVA";78;78;30976,64;22111,82;-;-;8864,82;-;-;397,14;397,14;155;2,0;-;-
"210845 PERITORO";254;254;147176,01;115893,63;-;-;31282,38;-;-;579,43;579,43;1496;5,9;6;2,36
"210850 PINDARE-MIRIM";81;81;38868,97;31305,42;-;-;7563,55;-;-;479,86;479,86;339;4,2;-;-
"210860 PINHEIRO";919;919;798546,47;611298,35;-;-;187248,12;-;-;868,93;868,93;3698;4,0;42;4,57
"210870 PIO XII";120;120;43237,46;34181,68;-;-;9055,78;-;-;360,31;360,31;249;2,1;-;-
"210880 PIRAPEMAS";40;40;16105,46;12730,42;-;-;3375,04;-;-;402,64;402,64;101;2,5;-;-
"210890 POCAO DE PEDRAS";103;103;32172,71;27269,64;-;-;4903,07;-;-;312,36;312,36;283;2,7;2;1,94
"210900 PORTO FRANCO";250;250;179909,90;138145,57;-;-;41764,33;-;-;719,64;719,64;890;3,6;5;2,00
"210910 PRESIDENTE DUTRA";299;299;415166,70;346864,71;-;-;68301,99;-;-;1388,52;1388,52;1585;5,3;31;10,37
"210920 PRESIDENTE JUSCELINO";44;44;14939,35;12544,35;-;-;2395,00;-;-;339,53;339,53;84;1,9;-;-
