Per�odo:Out/2022
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"210760 PALMEIRANDIA";60;60;21879,42;16828,18;-;-;5051,24;-;-;364,66;364,66;112;1,9;-;-
"210770 PARAIBANO";63;63;25730,50;22354,18;-;-;3376,32;-;-;408,42;408,42;317;5,0;2;3,17
"210780 PARNARAMA";108;108;43424,16;37162,16;-;-;6262,00;-;-;402,08;402,08;447;4,1;-;-
"210790 PASSAGEM FRANCA";425;425;157108,92;134050,31;-;-;23058,61;-;-;369,67;369,67;1302;3,1;-;-
"210800 PASTOS BONS";101;101;33082,20;29378,58;-;-;3703,62;-;-;327,55;327,55;310;3,1;-;-
"210805 PAULINO NEVES";128;128;75634,25;55080,93;-;-;20553,32;-;-;590,89;590,89;260;2,0;-;-
"210810 PAULO RAMOS";175;175;59046,31;48506,04;-;-;10540,27;-;-;337,41;337,41;427;2,4;-;-
"210820 PEDREIRAS";394;394;224139,18;166806,43;-;-;57332,75;-;-;568,88;568,88;1705;4,3;25;6,35
"210825 PEDRO DO ROSARIO";50;50;17049,20;14108,39;-;-;2940,81;-;-;340,98;340,98;150;3,0;-;-
"210830 PENALVA";87;87;35170,62;25216,68;-;-;9953,94;-;-;404,26;404,26;158;1,8;-;-
"210845 PERITORO";291;291;182554,40;142939,85;-;-;39614,55;-;-;627,33;627,33;1632;5,6;10;3,44
"210850 PINDARE-MIRIM";51;51;22531,89;17760,11;-;-;4771,78;-;-;441,80;441,80;213;4,2;1;1,96
"210860 PINHEIRO";862;862;692107,63;525104,31;-;-;167003,32;-;-;802,91;802,91;3893;4,5;22;2,55
"210870 PIO XII";114;114;42903,80;34941,01;-;-;7962,79;-;-;376,35;376,35;236;2,1;-;-
"210880 PIRAPEMAS";29;29;11262,84;9256,93;-;-;2005,91;-;-;388,37;388,37;122;4,2;-;-
"210890 POCAO DE PEDRAS";120;120;42245,04;36648,56;-;-;5596,48;-;-;352,04;352,04;421;3,5;3;2,50
"210900 PORTO FRANCO";255;255;257846,49;206451,38;-;-;51395,11;-;-;1011,16;1011,16;942;3,7;8;3,14
"210910 PRESIDENTE DUTRA";620;620;584980,70;470830,09;-;-;114150,61;-;-;943,52;943,52;3019;4,9;32;5,16
"210920 PRESIDENTE JUSCELINO";29;29;10035,28;8051,98;-;-;1983,30;-;-;346,04;346,04;77;2,7;-;-
"210923 PRESIDENTE MEDICI";3;3;1184,99;1080,28;-;-;104,71;-;-;395,00;395,00;7;2,3;-;-
"210927 PRESIDENTE SARNEY";48;48;13953,96;11750,86;-;-;2203,10;-;-;290,71;290,71;136;2,8;-;-
"210930 PRESIDENTE VARGAS";33;33;11755,40;9789,55;-;-;1965,85;-;-;356,22;356,22;96;2,9;-;-
"210940 PRIMEIRA CRUZ";77;77;19884,13;17077,73;-;-;2806,40;-;-;258,24;258,24;385;5,0;-;-
"210945 RAPOSA";22;22;12525,46;11193,93;-;-;1331,53;-;-;569,34;569,34;75;3,4;-;-
"210950 RIACHAO";171;171;50571,31;42078,54;-;-;8492,77;-;-;295,74;295,74;445;2,6;-;-
"210960 ROSARIO";203;203;61360,01;52227,41;-;-;9132,60;-;-;302,27;302,27;550;2,7;1;0,49
"210970 SAMBAIBA";30;30;7579,42;6441,01;-;-;1138,41;-;-;252,65;252,65;120;4,0;-;-
"210980 SANTA HELENA";150;150;52560,36;39029,62;-;-;13530,74;-;-;350,40;350,40;339;2,3;-;-
"210990 SANTA INES";1247;1247;918240,99;717564,18;-;-;200676,81;-;-;736,36;736,36;4557;3,7;40;3,21
"211000 SANTA LUZIA";262;262;136353,41;94489,12;-;-;41864,29;-;-;520,43;520,43;754;2,9;1;0,38
"211003 SANTA LUZIA DO PARUA";310;310;183677,04;135736,50;-;-;47940,54;-;-;592,51;592,51;1168;3,8;6;1,94
"211010 SANTA QUITERIA DO MARANHAO";146;146;64173,33;46772,05;-;-;17401,28;-;-;439,54;439,54;315;2,2;-;-
"211020 SANTA RITA";155;155;60236,01;47643,68;-;-;12592,33;-;-;388,62;388,62;371;2,4;-;-
"211023 SANTANA DO MARANHAO";45;45;18871,00;14052,85;-;-;4818,15;-;-;419,36;419,36;105;2,3;-;-
"211027 SANTO AMARO DO MARANHAO";34;34;11099,15;9373,75;-;-;1725,40;-;-;326,45;326,45;77;2,3;-;-
"211030 SANTO ANTONIO DOS LOPES";72;72;22764,86;19562,79;-;-;3202,07;-;-;316,18;316,18;360;5,0;-;-
"211040 SAO BENEDITO DO RIO PRETO";40;40;14720,96;11280,31;-;-;3440,65;-;-;368,02;368,02;85;2,1;-;-
"211050 SAO BENTO";156;156;53626,04;42867,43;-;-;10758,61;-;-;343,76;343,76;554;3,6;-;-
"211060 SAO BERNARDO";166;166;52917,41;43852,26;-;-;9065,15;-;-;318,78;318,78;510;3,1;-;-
"211065 SAO DOMINGOS DO AZEITAO";50;50;14619,45;12221,55;-;-;2397,90;-;-;292,39;292,39;129;2,6;-;-
"211070 SAO DOMINGOS DO MARANHAO";136;136;63214,42;49161,11;-;-;14053,31;-;-;464,81;464,81;431;3,2;-;-
"211080 SAO FELIX DE BALSAS";32;32;10510,15;9240,44;-;-;1269,71;-;-;328,44;328,44;81;2,5;-;-
"211085 SAO FRANCISCO DO BREJAO";36;36;12095,82;10578,12;-;-;1517,70;-;-;336,00;336,00;69;1,9;-;-
"211090 SAO FRANCISCO DO MARANHAO";85;85;39469,93;31242,20;-;-;8227,73;-;-;464,35;464,35;189;2,2;-;-
"211100 SAO JOAO BATISTA";106;106;35803,34;28203,85;-;-;7599,49;-;-;337,77;337,77;213;2,0;-;-
"211102 SAO JOAO DO CARU";40;40;14831,60;10542,93;-;-;4288,67;-;-;370,79;370,79;66;1,6;-;-
"211107 SAO JOAO DO SOTER";98;98;30572,04;25342,65;-;-;5229,39;-;-;311,96;311,96;281;2,9;-;-
"211110 SAO JOAO DOS PATOS";99;99;29755,21;25751,92;-;-;4003,29;-;-;300,56;300,56;217;2,2;1;1,01
"211120 SAO JOSE DE RIBAMAR";276;276;152990,41;97190,26;-;-;55800,15;-;-;554,31;554,31;642;2,3;-;-
"211125 SAO JOSE DOS BASILIOS";47;47;11452,00;9942,37;-;-;1509,63;-;-;243,66;243,66;137;2,9;-;-
"211130 SAO LUIS";10535;10162;18590526,42;14841244,71;-;-;3749281,71;-;-;1764,64;1829,42;89952;8,9;468;4,61
"211140 SAO LUIS GONZAGA DO MARANHAO";183;183;55474,71;47272,85;-;-;8201,86;-;-;303,14;303,14;552;3,0;-;-
"211150 SAO MATEUS DO MARANHAO";108;108;20860,15;17674,64;-;-;3185,51;-;-;193,15;193,15;218;2,0;2;1,85
