Per�odo:Nov/2022
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"211070 SAO DOMINGOS DO MARANHAO";143;143;72471,13;52495,07;-;-;19976,06;-;-;506,79;506,79;437;3,1;-;-
"211080 SAO FELIX DE BALSAS";21;21;6694,69;5861,41;-;-;833,28;-;-;318,79;318,79;54;2,6;-;-
"211085 SAO FRANCISCO DO BREJAO";58;58;18174,13;15853,04;-;-;2321,09;-;-;313,35;313,35;108;1,9;-;-
"211090 SAO FRANCISCO DO MARANHAO";83;83;40234,97;33603,44;-;-;6631,53;-;-;484,76;484,76;482;5,8;2;2,41
"211100 SAO JOAO BATISTA";111;111;40647,04;31759,62;-;-;8887,42;-;-;366,19;366,19;210;1,9;1;0,90
"211102 SAO JOAO DO CARU";37;37;13196,94;10526,80;-;-;2670,14;-;-;356,67;356,67;73;2,0;-;-
"211107 SAO JOAO DO SOTER";98;98;30545,81;26205,37;-;-;4340,44;-;-;311,69;311,69;315;3,2;-;-
"211110 SAO JOAO DOS PATOS";111;111;38275,82;32910,33;-;-;5365,49;-;-;344,83;344,83;263;2,4;-;-
"211120 SAO JOSE DE RIBAMAR";196;196;97246,81;61133,98;-;-;36112,83;-;-;496,16;496,16;415;2,1;-;-
"211130 SAO LUIS";10089;9657;18552264,48;14887094,65;-;-;3665169,83;-;-;1838,86;1921,12;89899;9,3;479;4,96
"211140 SAO LUIS GONZAGA DO MARANHAO";194;194;63870,23;55109,12;-;-;8761,11;-;-;329,23;329,23;584;3,0;-;-
"211150 SAO MATEUS DO MARANHAO";111;111;20188,33;17343,10;-;-;2845,23;-;-;181,88;181,88;218;2,0;6;5,41
