Per�odo:Jul/2023
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"211174 SENADOR ALEXANDRE COSTA";59;59;22614,24;18998,72;-;-;3615,52;-;-;383,29;383,29;162;2,7;-;-
"211178 SERRANO DO MARANHAO";50;50;17489,99;15113,20;-;-;2376,79;-;-;349,80;349,80;175;3,5;-;-
"211180 SITIO NOVO";103;103;39033,56;31731,30;-;-;7302,26;-;-;378,97;378,97;258;2,5;1;0,97
"211190 SUCUPIRA DO NORTE";37;37;17021,68;15009,09;-;-;2012,59;-;-;460,05;460,05;84;2,3;-;-
"211195 SUCUPIRA DO RIACHAO";18;18;5786,14;5123,50;-;-;662,64;-;-;321,45;321,45;35;1,9;1;5,56
"211200 TASSO FRAGOSO";25;25;9044,61;8102,11;-;-;942,50;-;-;361,78;361,78;82;3,3;-;-
"211210 TIMBIRAS";223;223;133931,61;87606,17;-;-;46325,44;-;-;600,59;600,59;471;2,1;2;0,90
"211220 TIMON";836;836;613636,75;446870,17;-;-;166766,58;-;-;734,02;734,02;3888;4,7;26;3,11
"211223 TRIZIDELA DO VALE";100;100;44836,44;35288,03;-;-;9548,41;-;-;448,36;448,36;332;3,3;10;10,00
"211227 TUFILANDIA";9;9;3287,66;2902,65;-;-;385,01;-;-;365,30;365,30;20;2,2;-;-
"211230 TUNTUM";132;132;63011,10;48383,81;-;-;14627,29;-;-;477,36;477,36;339;2,6;-;-
"211240 TURIACU";101;101;44901,69;35371,15;-;-;9530,54;-;-;444,57;444,57;298;3,0;1;0,99
"211250 TUTOIA";157;157;77655,12;57125,48;-;-;20529,64;-;-;494,62;494,62;577;3,7;-;-
"211260 URBANO SANTOS";143;143;57843,92;45525,05;-;-;12318,87;-;-;404,50;404,50;374;2,6;-;-
"211270 VARGEM GRANDE";127;127;51242,53;38053,60;-;-;13188,93;-;-;403,48;403,48;364;2,9;2;1,57
"211280 VIANA";274;274;146679,91;110737,84;-;-;35942,07;-;-;535,33;535,33;1168;4,3;9;3,28
"211285 VILA NOVA DOS MARTIRIOS";46;46;15040,84;12265,71;-;-;2775,13;-;-;326,97;326,97;108;2,3;1;2,17
"211290 VITORIA DO MEARIM";72;72;29700,67;22695,13;-;-;7005,54;-;-;412,51;412,51;210;2,9;-;-
"211300 VITORINO FREIRE";197;197;78923,20;63620,05;-;-;15303,15;-;-;400,63;400,63;332;1,7;2;1,02
"211400 ZE DOCA";330;330;134000,70;101668,00;-;-;32332,70;-;-;406,06;406,06;1139;3,5;7;2,12
"220010 AGRICOLANDIA";9;9;1539,53;1304,45;-;-;235,08;-;-;171,06;171,06;16;1,8;-;-
"220020 AGUA BRANCA";58;58;27593,67;22652,37;-;-;4941,30;-;-;475,75;475,75;369;6,4;2;3,45
"220030 ALTO LONGA";20;20;7791,18;6779,00;-;-;1012,18;-;-;389,56;389,56;72;3,6;-;-
"220040 ALTOS";125;125;62614,84;51967,15;-;-;10647,69;-;-;500,92;500,92;426;3,4;5;4,00
"220050 AMARANTE";102;102;30991,05;25964,68;-;-;5026,37;-;-;303,83;303,83;208;2,0;5;4,90
"220100 ARRAIAL";9;9;4500,51;3819,82;-;-;680,69;-;-;500,06;500,06;22;2,4;-;-
"220120 BARRAS";226;226;164207,38;102076,42;21354,17;-;32130,96;8645,83;-;726,58;726,58;893;4,0;5;2,21
"220150 BATALHA";96;96;43864,14;38487,67;-;-;5376,47;-;-;456,92;456,92;366;3,8;1;1,04
"220160 BENEDITINOS";7;7;3359,25;2918,07;-;-;441,18;-;-;479,89;479,89;37;5,3;-;-
"220190 BOM JESUS";454;454;334780,09;225647,51;29816,62;-;67418,02;11897,94;-;737,40;737,40;1478;3,3;25;5,51
"220220 CAMPO MAIOR";428;428;246316,29;177547,31;9605,62;-;54322,72;4840,64;-;575,51;575,51;1700;4,0;25;5,84
"220230 CANTO DO BURITI";148;148;70660,89;59174,62;-;-;11486,27;-;-;477,44;477,44;400;2,7;-;-
"220260 CASTELO DO PIAUI";36;36;14421,98;12446,62;-;-;1975,36;-;-;400,61;400,61;135;3,8;1;2,78
"220270 COCAL";47;47;11495,43;9772,81;-;-;1722,62;-;-;244,58;244,58;102;2,2;1;2,13
