Per�odo:Mar/2023
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"150670 SANTANA DO ARAGUAIA";384;384;119272,58;96575,64;-;-;22696,94;-;-;310,61;310,61;802;2,1;-;-
"150680 SANTAREM";1828;1828;2205932,42;1749205,23;-;-;456727,19;-;-;1206,75;1206,75;10033;5,5;85;4,65
"150700 SANTO ANTONIO DO TAUA";407;407;120047,80;99610,86;-;-;20436,94;-;-;294,96;294,96;1567;3,9;2;0,49
"150715 SAO DOMINGOS DO ARAGUAIA";55;55;20973,95;18160,68;-;-;2813,27;-;-;381,34;381,34;172;3,1;-;-
"150720 SAO DOMINGOS DO CAPIM";69;69;22049,10;18983,90;-;-;3065,20;-;-;319,55;319,55;227;3,3;1;1,45
"150730 SAO FELIX DO XINGU";335;335;154688,77;120368,47;-;-;34320,30;-;-;461,76;461,76;1187;3,5;2;0,60
"150745 SAO GERALDO DO ARAGUAIA";159;159;69425,97;52886,14;-;-;16539,83;-;-;436,64;436,64;425;2,7;3;1,89
"150747 SAO JOAO DE PIRABAS";78;78;23994,86;19613,85;-;-;4381,01;-;-;307,63;307,63;293;3,8;-;-
"150750 SAO JOAO DO ARAGUAIA";31;31;11606,18;10168,23;-;-;1437,95;-;-;374,39;374,39;111;3,6;1;3,23
"150760 SAO MIGUEL DO GUAMA";196;196;61884,16;51574,03;-;-;10310,13;-;-;315,74;315,74;599;3,1;10;5,10
"150770 SAO SEBASTIAO DA BOA VISTA";101;101;44523,58;33072,38;-;-;11451,20;-;-;440,83;440,83;219;2,2;-;-
"150775 SAPUCAIA";22;22;11427,91;9609,92;-;-;1817,99;-;-;519,45;519,45;70;3,2;1;4,55
"150780 SENADOR JOSE PORFIRIO";111;111;35872,14;28595,31;-;-;7276,83;-;-;323,17;323,17;254;2,3;-;-
"150790 SOURE";112;112;41830,28;31631,13;-;-;10199,15;-;-;373,48;373,48;232;2,1;2;1,79
"150795 TAILANDIA";414;414;213012,80;153186,47;-;-;59826,33;-;-;514,52;514,52;1280;3,1;19;4,59
"150797 TERRA SANTA";77;77;32932,60;25282,09;-;-;7650,51;-;-;427,70;427,70;211;2,7;-;-
"150800 TOME-ACU";300;300;132674,44;94558,50;-;-;38115,94;-;-;442,25;442,25;1071;3,6;4;1,33
"150803 TRACUATEUA";96;96;44243,06;39308,25;-;-;4934,81;-;-;460,87;460,87;383;4,0;-;-
"150805 TRAIRAO";141;141;43280,92;32968,23;-;-;10312,69;-;-;306,96;306,96;466;3,3;1;0,71
"150808 TUCUMA";477;477;224000,83;189572,50;-;-;34428,33;-;-;469,60;469,60;1618;3,4;2;0,42
"150810 TUCURUI";521;521;645236,77;491739,23;-;-;153497,54;-;-;1238,46;1238,46;2527;4,9;39;7,49
"150812 ULIANOPOLIS";280;280;125430,00;104547,66;-;-;20882,34;-;-;447,96;447,96;636;2,3;2;0,71
"150815 URUARA";351;351;145539,47;114320,64;-;-;31218,83;-;-;414,64;414,64;1228;3,5;5;1,42
"150820 VIGIA";150;150;74496,54;64693,02;-;-;9803,52;-;-;496,64;496,64;551;3,7;14;9,33
"150830 VISEU";200;200;78846,86;63896,60;-;-;14950,26;-;-;394,23;394,23;524;2,6;3;1,50
"150835 VITORIA DO XINGU";86;86;37365,62;27995,41;-;-;9370,21;-;-;434,48;434,48;346;4,0;-;-
"150840 XINGUARA";297;297;97735,29;75115,08;-;-;22620,21;-;-;329,08;329,08;618;2,1;3;1,01
"160010 AMAPA";23;23;9484,82;7121,65;-;-;2363,17;-;-;412,38;412,38;42;1,8;-;-
"160015 PEDRA BRANCA DO AMAPARI";14;14;5691,47;4833,98;-;-;857,49;-;-;406,53;406,53;61;4,4;-;-
"160020 CALCOENE";29;29;7990,92;6395,19;-;-;1595,73;-;-;275,55;275,55;94;3,2;-;-
"160023 FERREIRA GOMES";4;4;1661,29;1542,41;-;-;118,88;-;-;415,32;415,32;12;3,0;-;-
"160027 LARANJAL DO JARI";378;378;190846,64;137749,05;-;-;53097,59;-;-;504,89;504,89;794;2,1;9;2,38
"160030 MACAPA";4386;4386;3666807,06;2527046,00;-;-;1139761,06;-;-;836,03;836,03;16206;3,7;95;2,17
"160040 MAZAGAO";15;15;4326,92;3521,26;-;-;805,66;-;-;288,46;288,46;75;5,0;-;-
"160050 OIAPOQUE";133;133;53493,96;40506,78;-;-;12987,18;-;-;402,21;402,21;416;3,1;1;0,75
"160053 PORTO GRANDE";25;25;8408,97;6428,57;-;-;1980,40;-;-;336,36;336,36;66;2,6;-;-
"160060 SANTANA";492;492;232413,26;167153,71;-;-;65259,55;-;-;472,38;472,38;1933;3,9;21;4,27
"170070 ALVORADA";34;34;23451,39;13157,88;3585,94;-;4800,20;1907,37;-;689,75;689,75;87;2,6;-;-
"170100 ANANAS";14;14;6764,56;5989,47;-;-;775,09;-;-;483,18;483,18;76;5,4;-;-
"170190 ARAGUACEMA";31;31;13789,22;11720,05;-;-;2069,17;-;-;444,81;444,81;54;1,7;-;-
"170200 ARAGUACU";44;44;14962,48;12859,18;-;-;2103,30;-;-;340,06;340,06;205;4,7;1;2,27
"170210 ARAGUAINA";1920;1920;2404914,04;1749804,08;5170,66;-;645878,97;4060,33;-;1252,56;1252,56;10831;5,6;35;1,82
"170220 ARAGUATINS";29;29;15564,14;13387,14;-;-;2177,00;-;-;536,69;536,69;177;6,1;-;-
"170230 ARAPOEMA";129;129;68350,72;38359,78;11516,73;-;11752,61;6721,60;-;529,85;529,85;344;2,7;2;1,55
"170240 ARRAIAS";38;38;18843,04;13280,73;-;-;5562,31;-;-;495,87;495,87;90;2,4;-;-
"170255 AUGUSTINOPOLIS";85;85;37537,46;28688,61;-;-;8848,85;-;-;441,62;441,62;311;3,7;4;4,71
"170370 BREJINHO DE NAZARE";5;5;1268,26;1096,08;-;-;172,18;-;-;253,65;253,65;-;-;-;-
"170550 COLINAS DO TOCANTINS";173;173;86408,43;64943,84;-;-;21464,59;-;-;499,47;499,47;518;3,0;1;0,58
"170700 DIANOPOLIS";125;125;74720,14;43341,18;9975,60;-;15981,70;5421,66;-;597,76;597,76;313;2,5;2;1,60
"170710 DIVINOPOLIS DO TOCANTINS";52;52;38076,44;24003,38;-;-;14073,06;-;-;732,24;732,24;56;1,1;-;-
"170820 FORMOSO DO ARAGUAIA";41;41;17333,05;15116,83;-;-;2216,22;-;-;422,76;422,76;135;3,3;-;-
"170900 GOIATINS";9;9;3510,63;3129,86;-;-;380,77;-;-;390,07;390,07;30;3,3;-;-
"170930 GUARAI";135;135;67691,20;47901,10;-;-;19790,10;-;-;501,42;501,42;424;3,1;4;2,96
"170950 GURUPI";708;708;678650,97;521814,90;10342,72;-;141059,38;5433,97;-;958,55;958,55;3326;4,7;25;3,53
"171050 ITACAJA";16;16;6076,31;5515,76;-;-;560,55;-;-;379,77;379,77;59;3,7;-;-
"171320 MIRACEMA DO TOCANTINS";282;282;232167,40;179577,20;11949,17;-;33930,43;6710,60;-;823,29;823,29;942;3,3;6;2,13
"171420 NATIVIDADE";7;7;2300,43;1955,08;-;-;345,35;-;-;328,63;328,63;27;3,9;-;-
"171575 PALMEIROPOLIS";17;17;6899,34;5782,33;-;-;1117,01;-;-;405,84;405,84;49;2,9;-;-
"171610 PARAISO DO TOCANTINS";387;387;217964,97;135852,42;18752,95;-;52635,96;10723,64;-;563,22;563,22;1382;3,6;7;1,81
"171620 PARANA";13;13;5867,21;5062,42;-;-;804,79;-;-;451,32;451,32;39;3,0;-;-
"171650 PEDRO AFONSO";97;97;62240,68;35003,38;10383,82;-;11057,26;5796,22;-;641,66;641,66;241;2,5;-;-
"171660 PEIXE";2;2;1037,20;886,33;-;-;150,87;-;-;518,60;518,60;21;10,5;-;-
"171750 PIUM";59;59;17099,18;14524,91;-;-;2574,27;-;-;289,82;289,82;176;3,0;1;1,69
"171790 PONTE ALTA DO TOCANTINS";5;5;2367,73;1932,78;-;-;434,95;-;-;473,55;473,55;5;1,0;-;-
"171820 PORTO NACIONAL";468;468;293813,26;200188,71;15362,80;-;70456,93;7804,82;-;627,81;627,81;2058;4,4;15;3,21
"172065 SILVANOPOLIS";5;5;717,25;612,12;-;-;105,13;-;-;143,45;143,45;10;2,0;-;-
"172080 SITIO NOVO DO TOCANTINS";28;28;21457,72;14177,16;-;-;7280,56;-;-;766,35;766,35;29;1,0;-;-
"172090 TAGUATINGA";70;70;40526,45;28826,35;-;-;11700,10;-;-;578,95;578,95;161;2,3;1;1,43
"172100 PALMAS";2481;2481;4072740,38;3157580,63;-;-;915159,75;-;-;1641,57;1641,57;15607;6,3;86;3,47
"172120 TOCANTINOPOLIS";97;97;57111,21;39374,64;-;-;17736,57;-;-;588,78;588,78;296;3,1;1;1,03
"172210 XAMBIOA";83;83;38220,65;27533,32;3209,91;-;5857,31;1620,11;-;460,49;460,49;266;3,2;1;1,20
"210005 ACAILANDIA";584;584;500870,59;400206,92;-;-;100663,67;-;-;857,66;857,66;2437;4,2;14;2,40
"210020 ALCANTARA";30;30;12119,68;9366,46;-;-;2753,22;-;-;403,99;403,99;106;3,5;-;-
"210030 ALDEIAS ALTAS";48;48;17687,04;15087,08;-;-;2599,96;-;-;368,48;368,48;106;2,2;-;-
"210043 ALTO ALEGRE DO MARANHAO";206;206;109730,02;74223,37;-;-;35506,65;-;-;532,67;532,67;479;2,3;-;-
"210047 ALTO ALEGRE DO PINDARE";232;232;92244,39;73378,50;-;-;18865,89;-;-;397,61;397,61;602;2,6;2;0,86
"210050 ALTO PARNAIBA";19;19;7642,97;5696,67;-;-;1946,30;-;-;402,26;402,26;50;2,6;-;-
"210060 AMARANTE DO MARANHAO";212;212;82935,37;64896,85;-;-;18038,52;-;-;391,20;391,20;691;3,3;-;-
"210070 ANAJATUBA";75;75;20797,08;17707,22;-;-;3089,86;-;-;277,29;277,29;228;3,0;-;-
"210080 ANAPURUS";48;48;22238,36;17474,38;-;-;4763,98;-;-;463,30;463,30;161;3,4;-;-
"210083 APICUM-ACU";100;100;29845,88;24503,91;-;-;5341,97;-;-;298,46;298,46;182;1,8;-;-
"210087 ARAGUANA";74;74;33046,15;29083,02;-;-;3963,13;-;-;446,57;446,57;225;3,0;-;-
"210090 ARAIOSES";12;12;4379,88;2669,35;-;-;1710,53;-;-;364,99;364,99;49;4,1;-;-
"210100 ARARI";24;24;10609,23;8590,25;-;-;2018,98;-;-;442,05;442,05;41;1,7;-;-
"210110 AXIXA";22;22;8995,09;7722,41;-;-;1272,68;-;-;408,87;408,87;67;3,0;1;4,55
"210120 BACABAL";1063;1063;783664,83;621891,43;-;-;161773,40;-;-;737,22;737,22;3366;3,2;43;4,05
"210125 BACABEIRA";40;40;12922,34;9151,96;-;-;3770,38;-;-;323,06;323,06;53;1,3;-;-
"210130 BACURI";105;105;36091,22;29325,22;-;-;6766,00;-;-;343,73;343,73;238;2,3;-;-
"210140 BALSAS";750;750;583908,84;441557,28;-;-;142351,56;-;-;778,55;778,55;3047;4,1;22;2,93
