Per�odo:Jan/2024
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"210409 FORMOSA DA SERRA NEGRA";59;59;18328,03;16039,54;-;-;2288,49;-;-;310,64;310,64;135;2,3;-;-
"210410 FORTALEZA DOS NOGUEIRAS";53;53;18062,53;15647,98;-;-;2414,55;-;-;340,80;340,80;192;3,6;-;-
"210455 GOVERNADOR EDISON LOBAO";34;34;8560,84;7187,38;-;-;1373,46;-;-;251,79;251,79;54;1,6;-;-
"210460 GOVERNADOR EUGENIO BARROS";105;105;34458,24;29274,67;-;-;5183,57;-;-;328,17;328,17;364;3,5;-;-
"210462 GOVERNADOR LUIZ ROCHA";48;48;16710,61;14020,73;-;-;2689,88;-;-;348,14;348,14;139;2,9;-;-
"210465 GOVERNADOR NEWTON BELLO";45;45;18144,45;15864,25;-;-;2280,20;-;-;403,21;403,21;141;3,1;-;-
"210467 GOVERNADOR NUNES FREIRE";515;515;187674,11;155865,50;-;-;31808,61;-;-;364,42;364,42;1125;2,2;7;1,36
"210480 GRAJAU";473;473;424234,79;331204,00;-;-;93030,79;-;-;896,90;896,90;1577;3,3;25;5,29
"210490 GUIMARAES";62;62;17282,26;14699,42;-;-;2582,84;-;-;278,75;278,75;176;2,8;-;-
"210500 HUMBERTO DE CAMPOS";232;232;76696,81;63499,65;-;-;13197,16;-;-;330,59;330,59;554;2,4;-;-
"210515 IGARAPE DO MEIO";53;53;17333,76;14710,51;-;-;2623,25;-;-;327,05;327,05;184;3,5;-;-
"210520 IGARAPE GRANDE";69;69;20171,99;15268,97;-;-;4903,02;-;-;292,35;292,35;423;6,1;-;-
"210530 IMPERATRIZ";2228;2228;3388254,13;2651970,70;-;-;736283,43;-;-;1520,76;1520,76;13529;6,1;117;5,25
"210535 ITAIPAVA DO GRAJAU";70;70;27682,78;20745,09;-;-;6937,69;-;-;395,47;395,47;144;2,1;1;1,43
"210540 ITAPECURU MIRIM";213;213;117212,11;83788,15;-;-;33423,96;-;-;550,29;550,29;1012;4,8;1;0,47
"210542 ITINGA DO MARANHAO";94;94;30105,16;24423,70;-;-;5681,46;-;-;320,27;320,27;229;2,4;-;-
"210547 JENIPAPO DOS VIEIRAS";24;24;8691,81;7292,47;-;-;1399,34;-;-;362,16;362,16;53;2,2;-;-
"210550 JOAO LISBOA";148;148;48721,66;40736,46;-;-;7985,20;-;-;329,20;329,20;345;2,3;-;-
